,CD4T,CD8T,NK,B,Mon,Neu
liver_ctrl_3,0.057971014492753624,0.04874244492103724,0.11405732111522714,0.15662572301293298,0.15619152917162782,0.029937064126552136
liver_ctrl_1,0.05378853002578902,0.04752548200908756,0.14515534815178682,0.15854107822669777,0.16364826532838753,0.042112153611171724
liver_ctrl_2,0.08758604319962023,0.05922145739378115,0.16235461666271067,0.1428910515072395,0.14508483033932135,0.033682634730538924
liver_ctrl_4,0.050551832873472605,0.038037051635790305,0.08257784785179345,0.14761529365392195,0.1648407643312102,0.04178343949044586
liver_ctrl_5,0.0353072625698324,0.03664804469273743,0.09005586592178771,0.19486033519553073,0.14208909370199693,0.04800307219662058
liver_apap_1,0.030492975922716714,0.04277128424468124,0.04590538696950702,0.1609453928689945,0.29097122302158274,0.24863309352517984
liver_apap_2,0.03197601798651012,0.03447414439170622,0.06953118494462486,0.19918394537430262,0.0811076750070284,0.4194545965701434
liver_apap_4,0.0423015873015873,0.07198412698412698,0.061031746031746034,0.1568253968253968,0.11499221183800623,0.5699766355140187
liver_apap_3,0.04280125498702406,0.04419568501375063,0.04930859511174807,0.15400704961846845,0.17854228137359535,0.49541716366375793
liver_apap_5,0.03954976486007247,0.03939557474365893,0.02621231979030144,0.13838562948115027,0.29968012076339723,0.26905797361894834
liver_mda_1,0.014760147601476014,0.01845018450184502,0.27552275522755226,0.11898750566453033,0.30241294610605407,0.04789770264412657
liver_mda_2,0.01789066813914964,0.01684152401987852,0.13285477636664825,0.11794588625069023,0.3837225274725275,0.04848901098901099
liver_mda_3,0.019750148720999405,0.032123735871505056,0.14562760261748958,0.10113027959547888,0.285605612374271,0.026794015721409856
liver_mda_4,0.026877668927405174,0.030394373273046973,0.13899355270869965,0.12593150799631583,0.292913709760362,0.03424868867633447
liver_mda_5,0.024275509611475697,0.024275509611475697,0.14907950519774668,0.0933852140077821,0.3464846767962915,0.052536698429049705
wbc_1,0.28549141965678626,0.1773723122837957,0.007935969612697552,0.1016753713626806,0.055400696864111504,0.16905923344947735
wbc_2,0.21272751605995718,0.14413811563169165,0.00869914346895075,0.13724571734475374,0.05860340795188773,0.2364851319746074
wbc_3,0.18431674034211032,0.12889999359343968,0.007816003587673778,0.08046639759113332,0.05397467693512596,0.3397728756037071
wbc_4,0.21343044068633502,0.14880878903839032,0.012220713492161462,0.1018392791013455,0.06202090592334495,0.2515679442508711
wbc_5,0.21684991389588024,0.15406014041594912,0.010200026493575308,0.10981586965160949,0.06937264662709809,0.24047482289871722
spleen_1,0.46934306569343065,0.527007299270073,0.0989051094890511,0.7753649635036496,0.070821344493853,0.046037143604499085
spleen_2,0.5073428627374192,0.6410808693949481,0.10730370080281966,0.7607205795966321,0.060357531876721986,0.05132312423912347
spleen_3,0.43464921251789734,0.4536715074657394,0.09879320924524443,0.9623644917160974,0.06865148861646235,0.040630472854640984
spleen_4,0.4258391881342701,0.5579625292740047,0.12158469945355191,0.8911007025761124,0.07678630227197893,0.03457359236088245
spleen_5,0.5854620976116304,0.7424714434060229,0.08639667705088266,0.8060228452751818,0.06877440483688121,0.03929965990678927
